timestamp,x,y,z
0,-0.3,-0.65,-2.97
10,-1.42,1.05,-1.43
20,-0.87,1.03,0.07
30,0.59,0.24,0.32
40,1.74,-0.33,-0.43
50,2.46,-0.5,-1.12
60,2.59,-0.36,-1.56
70,2.17,0.35,-1.48
80,1.69,1.09,-1.07
90,1.47,1.93,-0.99
100,1.27,3.02,-1.28
110,0.91,4.34,-1.85
120,0.52,5.89,-2.44
130,0.43,7.0,-3.11
140,0.63,6.91,-3.37
150,1.0,6.34,-2.75
160,1.21,5.94,-1.23
170,1.3,5.69,0.09
180,1.5,5.2,0.15
190,1.64,4.28,-1.62
200,1.31,3.07,-4.67
210,0.36,1.97,-7.37
220,-1.12,1.22,-8.26
230,-2.26,-0.12,-6.39
240,-2.61,-2.89,-1.74
250,-2.99,-6.34,3.56
260,-3.55,-9.78,7.3
270,-4.41,-13.04,10.01
280,-5.67,-16.03,12.23
290,-5.61,-18.76,15.89
300,-4.15,-21.96,20.91
310,-1.29,-25.58,25.8
320,1.31,-29.15,29.38
330,2.62,-31.44,30.24
340,2.6,-31.87,28.34
350,2.27,-30.69,24.38
360,3.06,-29.76,20.11
370,4.62,-29.57,16.74
380,5.67,-28.83,14.65
390,5.45,-26.85,13.24
400,3.81,-23.55,12.27
410,1.52,-19.4,12.06
420,-0.23,-15.9,12.34
430,-1.2,-12.95,12.17
440,-1.51,-10.48,11.15
450,-1.16,-8.48,9.58
460,-0.51,-6.64,8.25
470,0.6,-5.04,7.56
480,2.21,-3.78,7.43
490,3.93,-2.93,6.43
500,5.14,-1.77,4.98
510,5.45,0.12,3.6
520,5.08,2.6,1.85
530,4.29,5.25,0.04
540,3.17,7.85,-1.72
550,1.87,10.18,-3.38
560,0.3,12.77,-4.58
570,-0.89,14.54,-4.76
580,-1.53,15.43,-4.15
590,-1.48,15.56,-3.25
600,-0.45,14.68,-2.5
610,1.33,13.13,-2.11
620,3.08,11.21,-2.48
630,4.49,9.19,-2.73
640,5.37,7.14,-2.91
650,5.33,5.01,-3.63
660,4.09,3.27,-4.82
670,1.93,2.16,-6.41
680,-1.3,2.1,-7.11
690,-3.91,1.82,-5.09
700,-4.47,-0.69,-0.22
710,-3.37,-4.81,5.32
720,-1.52,-9.04,10.42
730,0.73,-13.12,15.51
740,2.97,-17.32,20.25
750,4.29,-21.51,24.51
760,5.23,-24.91,26.72
770,6.43,-27.77,25.92
780,8.05,-30.69,22.23
790,10.63,-33.73,16.88
800,13.64,-36.72,12.96
810,16.33,-38.52,13.46
820,17.24,-37.93,18.86
830,16.12,-35.44,25.33
840,13.1,-31.22,29.08
850,8.92,-25.9,28.86
860,4.64,-20.58,25.22
870,1.29,-16.0,19.78
880,-1.41,-12.4,14.16
890,-3.23,-8.75,9.92
900,-3.19,-7.44,7.1
910,-1.53,-7.33,5.65
920,0.52,-7.06,4.7
930,1.86,-5.99,4.23
940,2.87,-4.63,4.46
950,3.82,-3.43,5.5
960,4.66,-2.25,6.62
970,5.31,-0.72,7.27
980,5.55,1.21,6.86
990,5.38,3.63,5.9
1000,4.76,6.1,4.3
