timestamp,x,y,z
0,6.08,-6.88,1.41
10,5.82,-8.36,2.71
20,4.53,-9.24,3.34
30,1.83,-9.31,2.73
40,-1.58,-8.92,0.88
50,-5.2,-8.96,-1.58
60,-8.25,-10.08,-4.38
70,-10.8,-11.88,-6.61
80,-12.71,-13.77,-7.05
90,-13.4,-15.93,-3.61
100,-12.17,-18.91,3.36
110,-8.54,-22.72,12.45
120,-4.08,-26.72,21.81
130,0.2,-30.57,29.53
140,4.26,-33.87,33.87
150,6.72,-35.78,34.91
160,7.32,-35.92,32.39
170,6.11,-34.06,26.26
180,3.66,-30.86,19.57
190,0.61,-26.99,15.0
200,-2.33,-22.62,13.15
210,-4.55,-18.49,13.19
220,-5.68,-15.22,13.95
230,-5.41,-12.94,14.43
240,-3.72,-11.86,13.97
250,-1.27,-11.34,12.88
260,0.77,-10.58,10.74
270,2.36,-9.92,7.98
280,3.29,-8.84,5.29
290,3.3,-7.15,2.82
300,2.66,-5.15,0.93
310,1.38,-2.95,0.09
320,0.16,-0.94,-0.2
330,-0.71,0.64,0.04
340,-1.16,1.76,0.66
350,-1.1,2.26,1.0
360,-0.61,2.4,0.92
370,-0.13,2.7,0.13
380,0.17,3.04,-1.3
390,0.12,3.57,-2.63
400,-0.15,4.3,-3.43
410,-0.82,5.13,-3.48
420,-1.56,6.16,-2.88
430,-2.2,7.13,-1.84
440,-2.37,7.58,-1.42
450,-2.3,7.64,-1.83
460,-2.03,7.64,-2.9
470,-1.5,7.73,-3.73
480,-0.19,7.22,-3.9
490,1.73,6.1,-3.56
500,3.77,4.39,-3.21
510,4.88,3.14,-2.96
520,5.18,2.43,-3.9
530,4.76,2.64,-5.19
540,4.25,3.14,-6.21
550,4.19,3.24,-6.34
560,4.82,2.37,-5.81
570,5.4,0.66,-4.63
580,5.02,-0.86,-2.63
590,3.4,-1.71,-0.39
600,0.95,-2.09,1.24
610,-2.0,-2.62,1.98
620,-4.71,-3.43,2.42
630,-6.74,-4.72,3.85
640,-7.98,-6.51,6.75
650,-7.79,-8.88,11.05
660,-5.88,-12.4,16.18
670,-2.68,-17.04,20.71
680,1.67,-22.15,23.09
690,6.78,-27.33,23.07
700,11.47,-32.61,21.98
710,15.05,-36.97,21.24
720,16.99,-39.67,21.02
730,16.97,-40.31,20.65
740,14.85,-38.58,19.55
750,11.38,-34.84,17.64
760,8.06,-30.54,16.58
770,5.66,-26.69,17.05
780,3.9,-23.22,18.33
790,2.02,-19.41,18.71
800,-0.3,-14.74,17.04
810,-2.27,-11.35,13.26
820,-2.32,-10.31,9.21
830,-1.27,-10.08,8.29
840,0.28,-9.98,10.34
850,2.48,-10.02,11.07
860,4.97,-9.98,8.33
870,6.83,-9.78,5.52
880,7.0,-8.34,5.24
890,6.17,-6.06,6.74
900,5.28,-4.19,7.96
910,4.66,-2.84,8.1
920,3.92,-1.73,7.98
930,2.75,-0.28,7.61
940,1.36,1.18,6.2
950,0.15,2.3,3.77
960,-0.82,3.0,1.83
970,-1.69,3.87,1.24
980,-2.17,4.18,0.58
990,-2.4,4.25,0.1
1000,-2.36,4.09,-0.18
