timestamp,x,y,z
0,4.96,51.07,21.08
10,13.41,53.67,15.69
20,22.05,58.94,9.19
30,36.26,63.59,-3.07
40,43.37,65.07,-7.29
50,48.63,63.52,-8.38
60,55.9,60.97,-3.46
70,66.07,57.98,5.72
80,75.72,50.09,8.04
90,78.45,40.7,-0.47
100,78.45,30.62,-5.89
110,78.45,15.55,-5.9
120,78.45,2.41,-4.3
130,78.45,-4.14,-2.99
140,73.81,-2.26,-0.44
150,59.53,0.68,0.58
160,45.83,1.03,0.01
170,33.15,-3.43,-1.06
180,24.24,-6.04,-3.44
190,20.12,-7.11,-3.75
200,19.94,-8.73,-1.53
210,22.42,-10.76,1.22
220,25.52,-11.69,3.66
230,29.37,-8.64,4.95
240,32.97,-7.39,5.26
250,35.64,-7.41,7.08
260,36.77,-6.86,11.31
270,35.33,-2.76,15.85
280,31.73,4.2,19.28
290,27.67,12.05,22.65
300,23.65,17.04,24.81
310,22.49,17.69,29.31
320,23.96,16.73,33.53
330,27.27,14.92,35.27
340,30.45,13.07,36.19
350,31.14,7.71,34.53
360,29.25,5.58,30.51
370,24.97,5.84,24.56
380,20.34,5.49,18.85
390,16.47,3.9,14.65
400,13.68,3.56,12.4
410,13.13,5.53,12.67
420,14.21,6.83,14.81
430,15.9,5.99,16.73
440,15.67,3.77,16.45
450,12.56,4.75,13.52
460,6.33,10.45,9.01
470,-0.98,20.03,5.5
480,-7.82,30.81,6.15
490,-18.08,41.73,15.21
500,-20.87,48.69,20.39
510,-20.16,47.08,27.24
520,-15.95,39.68,34.0
530,-9.24,30.08,39.21
540,-3.09,23.88,43.9
550,0.74,21.35,47.92
560,3.63,21.18,48.68
570,6.76,23.14,43.43
580,9.28,26.95,33.55
590,9.79,31.54,23.08
600,9.59,36.18,14.19
610,9.97,40.35,6.65
620,12.83,43.25,-0.4
630,23.59,45.23,-11.83
640,29.93,47.69,-14.12
650,36.63,50.77,-14.71
660,42.59,55.14,-13.16
670,49.8,59.48,-6.86
680,58.01,56.89,1.81
690,62.79,49.0,4.41
700,64.42,42.58,-1.62
710,65.73,38.47,-11.69
720,68.24,33.93,-22.55
730,69.2,28.15,-33.01
740,66.84,17.91,-37.15
750,62.99,7.0,-37.22
760,57.2,-0.27,-33.44
770,51.14,-3.85,-26.58
780,45.09,-5.18,-18.89
790,39.06,-6.48,-14.44
800,32.76,-9.3,-12.05
810,28.57,-9.33,-9.63
820,26.52,-8.83,-7.24
830,26.53,-7.24,-5.0
840,24.92,-10.05,-4.02
850,22.08,-12.02,-3.88
860,18.13,-13.18,-3.93
870,14.04,-12.89,-4.3
880,11.34,-11.29,-4.14
890,10.54,-8.47,-2.74
900,11.18,-6.67,-0.38
910,13.45,-5.11,3.33
920,15.92,-5.0,7.67
930,16.75,-5.58,11.34
940,15.48,-5.8,12.96
950,12.0,-5.32,13.11
960,7.66,-3.85,12.28
970,4.2,-2.62,11.03
980,2.71,-2.07,9.66
990,3.11,-2.19,8.97
1000,4.46,-3.05,8.93
