timestamp,x,y,z
0,8.18,-2.51,21.45
10,7.91,-6.53,24.16
20,6.33,-9.64,24.74
30,2.4,-10.84,23.38
40,-2.96,-10.15,20.88
50,-8.84,-8.58,18.58
60,-13.36,-6.03,15.05
70,-17.28,-4.07,14.19
80,-17.6,-4.69,14.94
90,-15.95,-6.53,16.39
100,-13.93,-7.86,15.65
110,-11.69,-8.77,12.54
120,-9.49,-9.65,9.33
130,-6.57,-10.75,7.16
140,-3.71,-12.12,6.28
150,-1.53,-13.04,6.43
160,-0.2,-13.37,6.92
170,0.25,-12.86,7.13
180,0.0,-11.94,6.92
190,-0.4,-10.91,6.87
200,-0.47,-10.31,7.23
210,0.02,-10.24,7.38
220,0.74,-10.32,6.87
230,1.21,-10.34,6.07
240,1.31,-10.16,5.17
250,0.95,-9.62,4.59
260,0.42,-9.19,4.65
270,-0.3,-9.05,5.54
280,-1.04,-9.28,6.58
290,-1.46,-10.36,6.33
300,-0.99,-12.37,5.5
310,0.36,-14.97,5.34
320,2.11,-17.58,6.56
330,3.69,-19.71,8.77
340,4.2,-20.84,10.73
350,3.04,-19.86,11.79
360,0.67,-17.09,11.74
370,-1.33,-14.1,11.05
380,-2.09,-12.0,9.95
390,-1.12,-11.08,8.13
400,0.67,-10.69,5.89
410,2.12,-9.62,4.09
420,2.84,-7.58,2.39
430,2.66,-4.81,1.2
440,2.09,-1.66,0.55
450,1.52,1.46,0.3
460,1.02,4.19,-0.48
470,0.55,6.96,-1.47
480,0.54,9.58,-2.73
490,0.95,11.65,-4.42
500,1.61,12.96,-6.52
510,2.43,13.57,-8.38
520,3.11,13.58,-9.32
530,3.64,13.36,-8.85
540,4.23,12.83,-6.56
550,4.69,11.88,-2.62
560,5.23,10.5,1.02
570,5.78,8.71,2.65
580,6.06,6.75,2.52
590,5.77,4.79,0.81
600,4.67,2.66,-1.63
610,2.65,1.03,-3.11
620,0.4,-1.02,-2.74
630,-1.58,-3.87,-0.4
640,-2.97,-7.44,3.79
650,-4.04,-12.1,8.22
660,-5.83,-16.91,10.94
670,-8.53,-20.59,11.05
680,-12.8,-22.31,10.57
690,-14.54,-23.51,13.84
700,-9.26,-28.8,21.2
710,-1.11,-36.06,30.8
720,6.16,-42.38,39.01
730,12.21,-47.02,41.73
740,15.11,-48.54,39.5
750,14.53,-45.83,33.44
760,10.27,-39.47,26.48
770,4.77,-31.8,21.64
780,-0.91,-23.82,19.23
790,-6.01,-16.71,15.98
800,-10.05,-9.22,14.05
810,-10.77,-5.31,14.41
820,-7.84,-4.68,14.74
830,-3.63,-4.28,12.99
840,0.25,-3.39,9.0
850,2.83,-2.01,5.54
860,4.6,-0.58,2.32
870,5.49,1.11,-0.25
880,5.9,3.06,-2.75
890,5.98,5.45,-3.74
900,5.36,8.24,-2.09
910,5.45,10.56,-0.28
920,6.66,11.52,0.07
930,7.82,12.01,-0.51
940,8.52,12.53,-2.15
950,8.46,13.4,-3.89
960,7.17,14.27,-4.97
970,5.38,15.06,-4.56
980,3.7,15.61,-2.97
990,2.44,15.58,-2.11
1000,1.58,15.03,-2.11
