timestamp,x,y,z
0,1.42,-5.97,5.41
10,1.63,-6.21,5.9
20,1.8,-6.42,6.44
30,2.0,-6.55,6.58
40,2.29,-6.73,6.3
50,2.6,-6.92,6.01
60,2.95,-7.13,5.91
70,3.3,-7.27,6.17
80,3.49,-7.55,7.02
90,3.52,-7.71,8.24
100,3.34,-7.67,9.38
110,3.08,-7.5,10.01
120,3.17,-7.39,9.98
130,3.79,-7.64,9.6
140,4.66,-8.35,9.36
150,5.3,-9.02,9.27
160,5.46,-9.23,9.1
170,5.06,-8.94,8.59
180,4.39,-8.46,7.75
190,3.85,-8.18,7.03
200,3.4,-7.97,6.56
210,3.14,-7.73,6.46
220,2.73,-7.7,6.22
230,2.03,-7.61,5.92
240,1.03,-7.23,5.93
250,0.03,-6.82,5.91
260,-0.8,-6.4,5.77
270,-1.41,-5.88,5.51
280,-1.55,-5.88,5.15
290,-1.31,-6.46,4.64
300,-1.14,-6.96,3.93
310,-1.16,-6.88,3.6
320,-0.95,-6.79,4.04
330,-0.6,-7.18,4.86
340,-0.38,-7.52,5.4
350,-0.54,-7.46,5.48
360,-0.9,-7.23,5.58
370,-0.99,-7.18,6.11
380,-0.78,-7.68,7.13
390,-0.67,-8.37,7.9
400,-0.93,-8.62,7.79
410,-1.64,-8.63,6.8
420,-2.55,-8.58,5.76
430,-3.36,-8.3,5.08
440,-3.84,-8.18,5.17
450,-3.77,-8.27,5.84
460,-3.4,-8.62,6.74
470,-2.9,-9.01,7.48
480,-2.08,-9.5,8.03
490,-1.3,-10.02,8.13
500,-0.5,-10.22,8.0
510,0.4,-10.3,7.64
520,1.06,-10.58,7.1
530,1.17,-10.63,6.4
540,0.79,-10.12,5.58
550,0.24,-9.49,4.82
560,0.24,-8.96,4.47
570,0.86,-9.04,4.6
580,1.71,-9.89,4.85
590,2.22,-10.55,4.72
600,1.79,-10.32,3.86
610,0.69,-9.22,3.11
620,-0.32,-7.82,2.21
630,-0.66,-6.71,1.28
640,-0.15,-6.3,-0.26
650,1.16,-6.24,-2.43
660,2.78,-6.17,-5.51
670,4.66,-5.95,-9.13
680,7.29,-5.81,-11.81
690,9.19,-5.21,-11.45
700,10.93,-3.96,-9.13
710,13.36,-2.6,-6.28
720,16.09,-2.21,-4.7
730,18.7,-2.33,-4.07
740,19.58,-1.69,-1.06
750,17.96,0.01,4.86
760,14.64,2.44,10.81
770,10.98,4.36,14.45
780,7.01,4.89,15.47
790,3.75,4.15,15.56
800,0.67,3.4,16.83
810,-2.95,3.06,20.36
820,-7.4,1.61,25.18
830,-7.19,0.38,25.81
840,-9.06,-0.58,28.4
850,-9.4,-1.04,29.76
860,-8.71,-1.47,30.75
870,-8.5,-2.6,31.62
880,-8.44,-3.73,31.56
890,-8.25,-4.63,29.45
900,-8.5,-4.87,25.79
910,-9.11,-4.37,20.8
920,-9.0,-3.85,14.64
930,-7.86,-3.9,8.84
940,-5.63,-4.82,4.26
950,-2.44,-6.13,1.8
960,0.77,-7.29,1.2
970,3.56,-7.29,-0.14
980,5.59,-6.74,-3.14
990,8.17,-6.21,-7.37
1000,10.7,-6.07,-11.06
