timestamp,x,y,z
0,4.8,-33.71,20.59
10,4.2,-32.81,18.41
20,3.87,-31.29,15.66
30,3.74,-29.26,13.14
40,3.56,-26.76,12.39
50,2.88,-23.45,12.85
60,1.89,-19.81,12.62
70,1.15,-16.75,11.37
80,0.94,-14.53,10.19
90,0.91,-12.31,9.49
100,0.78,-9.82,8.32
110,0.7,-7.91,6.5
120,0.7,-6.41,5.23
130,0.51,-4.7,3.99
140,0.05,-3.03,2.43
150,-0.56,-1.24,1.74
160,-0.61,-0.09,1.97
170,0.0,0.31,1.9
180,1.07,0.31,1.16
190,2.14,0.32,0.28
200,2.96,0.61,0.31
210,3.94,0.73,-0.11
220,4.22,0.93,-1.28
230,3.9,1.4,-2.95
240,3.04,2.01,-4.39
250,1.22,3.05,-4.68
260,-0.92,4.44,-4.3
270,-2.45,4.93,-3.76
280,-2.88,4.4,-3.25
290,-2.3,3.13,-3.21
300,-1.14,1.61,-3.61
310,0.33,-0.06,-3.98
320,1.95,-2.04,-3.85
330,3.38,-3.91,-3.22
340,4.49,-5.63,-2.37
350,5.08,-7.1,-0.85
360,4.87,-7.88,0.97
370,4.42,-8.17,2.38
380,4.43,-9.14,2.77
390,5.15,-10.87,2.04
400,6.01,-12.76,0.58
410,6.01,-14.17,-0.75
420,4.81,-14.22,-1.46
430,3.04,-13.72,-1.42
440,1.55,-13.76,-0.24
450,0.16,-14.32,1.64
460,-1.59,-14.94,3.4
470,-4.41,-14.91,4.64
480,-7.99,-14.09,5.47
490,-11.29,-13.29,6.05
500,-13.86,-12.8,6.51
510,-15.98,-11.81,6.95
520,-17.85,-10.02,8.14
530,-20.05,-7.73,9.43
540,-22.15,-4.96,9.04
550,-23.9,-2.09,8.41
560,-23.95,0.57,8.22
570,-21.37,2.23,9.1
580,-15.74,1.04,9.47
590,-8.28,-1.55,8.56
600,0.01,-5.25,6.66
610,7.1,-9.47,4.18
620,12.5,-12.64,1.35
630,14.65,-14.5,-3.59
640,12.35,-13.27,-6.05
650,9.73,-11.05,-2.74
660,9.39,-9.81,6.66
670,12.16,-10.94,14.94
680,16.46,-13.35,17.48
690,20.76,-15.37,13.97
700,23.84,-16.62,8.54
710,25.8,-17.32,3.59
720,27.85,-17.02,-1.46
730,24.65,-15.65,-2.28
740,19.88,-12.77,-2.07
750,13.76,-9.51,-1.26
760,7.08,-6.45,-0.58
770,1.09,-4.15,-0.54
780,-3.47,-3.26,-0.19
790,-6.62,-3.87,1.61
800,-7.7,-5.62,4.36
810,-9.3,-6.35,6.93
820,-15.09,-4.24,10.38
830,-20.33,-0.85,10.21
840,-24.22,3.05,10.37
850,-25.55,5.31,10.47
860,-25.39,5.62,12.17
870,-23.56,4.33,14.12
880,-20.17,3.0,14.51
890,-16.31,1.65,12.76
900,-12.77,0.32,10.01
910,-8.87,-1.06,6.87
920,-4.8,-3.14,4.1
930,-1.21,-5.32,1.36
940,0.94,-6.79,-1.34
950,2.67,-7.52,-2.68
960,5.04,-8.96,-1.75
970,7.96,-10.59,4.01
980,11.82,-12.11,11.58
990,16.7,-13.89,16.24
1000,21.65,-15.87,17.61
