timestamp,x,y,z
0,-4.04,-0.36,2.35
10,-4.94,1.27,1.04
20,-5.66,2.86,-0.01
30,-5.9,4.07,-0.7
40,-5.39,4.62,-1.0
50,-3.85,4.55,-1.06
60,-1.91,4.07,-0.89
70,-0.4,4.42,-1.64
80,-0.41,6.72,-2.13
90,-1.19,9.24,-3.81
100,-1.65,10.9,-5.44
110,-1.19,10.8,-6.18
120,0.12,9.44,-5.43
130,1.62,7.65,-4.39
140,2.68,6.45,-3.71
150,3.08,5.79,-2.88
160,3.11,5.49,-1.59
170,3.39,4.75,-0.21
180,4.1,2.95,1.11
190,4.64,0.36,2.23
200,4.32,-2.49,3.43
210,2.57,-4.99,4.57
220,-0.7,-7.19,4.62
230,-4.89,-9.62,2.71
240,-9.16,-11.86,-0.05
250,-12.72,-13.68,-1.18
260,-14.63,-15.27,1.1
270,-13.42,-17.32,7.05
280,-9.73,-20.74,18.3
290,-3.43,-26.22,29.57
300,3.25,-32.07,37.14
310,8.15,-36.43,39.06
320,8.56,-36.92,36.2
330,6.0,-33.12,27.57
340,0.95,-27.0,18.73
350,-4.3,-20.73,13.19
360,-8.24,-15.32,11.43
370,-10.07,-11.55,11.59
380,-9.37,-9.75,12.25
390,-6.34,-9.65,12.72
400,-2.33,-10.18,12.45
410,1.19,-10.16,12.58
420,3.5,-9.51,12.12
430,4.27,-7.97,11.22
440,3.79,-5.69,9.15
450,3.07,-3.57,6.61
460,2.73,-1.83,4.77
470,2.93,-0.34,4.42
480,4.01,0.45,4.82
490,5.41,0.84,5.16
500,6.06,1.46,4.27
510,5.46,2.95,1.97
520,3.9,5.05,-0.84
530,2.21,7.07,-3.0
540,0.95,8.87,-4.06
550,0.17,10.09,-4.13
560,-0.07,10.67,-3.78
570,0.02,10.64,-3.57
580,0.35,10.21,-4.09
590,1.0,9.38,-4.93
600,1.53,8.43,-6.03
610,2.13,7.63,-7.26
620,2.68,6.86,-8.17
630,3.27,6.07,-8.0
640,3.96,4.77,-5.96
650,4.58,3.02,-3.76
660,4.14,1.35,-3.55
670,1.98,0.43,-4.38
680,-1.25,0.28,-5.34
690,-3.99,0.45,-4.92
700,-4.98,0.09,-1.19
710,-3.75,-1.4,6.79
720,-0.61,-4.28,16.48
730,3.38,-8.32,26.27
740,8.01,-14.1,34.37
750,10.95,-19.45,37.57
760,11.44,-22.89,34.67
770,9.13,-23.13,26.5
780,4.99,-20.85,18.64
790,0.95,-18.16,14.42
800,-1.94,-16.04,13.79
810,-3.87,-14.87,14.9
820,-5.25,-13.84,16.11
830,-6.6,-11.87,16.81
840,-7.6,-8.9,17.36
850,-7.07,-6.7,18.46
860,-4.49,-6.53,19.6
870,-1.36,-7.53,18.87
880,0.76,-8.07,15.88
890,1.45,-7.66,12.09
900,1.24,-6.66,9.13
910,0.8,-5.67,7.52
920,0.62,-4.93,7.4
930,0.95,-4.69,8.21
940,1.71,-4.93,8.93
950,2.4,-5.2,8.97
960,2.79,-5.22,8.68
970,2.99,-5.16,9.17
980,2.96,-5.2,10.2
990,2.61,-5.07,10.58
1000,2.1,-4.68,9.76
