timestamp,x,y,z
0,-6.05,-0.33,5.38
10,-2.77,-1.75,4.94
20,0.07,-3.03,3.96
30,2.82,-3.95,2.31
40,6.43,-4.75,1.62
50,11.31,-6.11,3.3
60,17.34,-8.19,6.79
70,23.34,-10.35,11.17
80,28.5,-12.29,14.15
90,33.23,-13.98,13.45
100,37.85,-15.33,9.63
110,39.68,-16.31,6.14
120,39.04,-16.82,2.44
130,36.51,-15.94,-1.08
140,32.3,-13.72,-2.63
150,26.97,-10.69,-1.85
160,21.02,-7.51,-0.97
170,15.38,-4.78,-0.94
180,10.64,-3.21,-0.98
190,7.29,-2.47,-0.51
200,5.36,-2.49,0.57
210,4.61,-3.64,1.91
220,4.28,-5.04,3.32
230,3.39,-5.7,5.09
240,1.49,-5.52,6.72
250,-1.86,-4.72,8.79
260,-5.83,-3.72,10.66
270,-9.56,-2.48,11.9
280,-15.04,-0.85,14.05
290,-18.52,1.94,12.28
300,-23.54,5.04,12.15
310,-26.18,7.3,13.22
320,-27.95,8.46,15.6
330,-28.44,8.54,18.11
340,-27.24,7.92,19.24
350,-25.25,7.41,18.31
360,-23.39,7.12,15.2
370,-21.03,6.34,12.03
380,-18.23,5.26,9.39
390,-15.13,3.96,7.47
400,-11.68,2.4,6.23
410,-8.32,0.7,5.52
420,-5.07,-1.02,4.93
430,-3.11,-2.28,4.53
440,-2.34,-2.41,4.24
450,-1.46,-1.98,3.72
460,1.52,-2.65,3.46
470,7.69,-5.26,4.69
480,14.54,-8.76,7.57
490,20.99,-12.1,10.29
500,25.45,-13.97,11.72
510,27.51,-14.46,11.09
520,28.46,-13.77,8.54
530,30.08,-13.59,5.71
540,32.85,-15.01,3.71
550,34.36,-16.9,3.09
560,34.0,-17.46,2.12
570,30.94,-15.96,-0.12
580,25.71,-13.19,-2.28
590,20.07,-9.89,-2.86
600,15.03,-7.06,-1.84
610,10.89,-5.3,0.15
620,8.15,-4.69,2.17
630,6.34,-4.93,3.68
640,4.69,-5.42,4.67
650,2.72,-5.45,5.47
660,0.23,-4.76,6.39
670,-2.97,-3.84,7.76
680,-6.53,-2.87,9.16
690,-10.41,-1.67,10.02
700,-16.38,0.71,10.83
710,-23.58,5.56,10.51
720,-29.4,10.01,10.44
730,-31.66,12.39,11.33
740,-32.21,12.64,13.97
750,-30.69,11.77,16.97
760,-27.17,9.69,19.09
770,-22.9,7.33,18.75
780,-19.44,5.78,14.8
790,-16.38,4.68,10.27
800,-12.98,3.15,6.83
810,-9.58,1.2,4.55
820,-6.59,-0.47,2.85
830,-4.85,-1.46,1.55
840,-4.15,-1.46,0.67
850,-3.44,-1.03,0.23
860,-1.1,-1.33,0.68
870,3.9,-3.23,1.97
880,10.91,-6.66,3.89
890,18.82,-10.36,6.14
900,25.67,-13.18,7.91
910,29.54,-14.98,8.36
920,31.66,-15.24,8.07
930,32.59,-14.96,7.92
940,35.26,-15.83,5.77
950,36.46,-17.54,5.47
960,36.12,-18.1,4.63
970,32.75,-16.49,2.64
980,26.84,-13.17,-0.1
990,19.9,-9.18,-2.59
1000,13.5,-5.49,-3.6
