timestamp,x,y,z
0,-3.49,-2.28,20.0
10,3.08,-13.94,23.13
20,10.36,-27.22,21.34
30,14.11,-37.09,21.71
40,13.08,-41.04,25.0
50,11.44,-41.36,27.87
60,11.6,-41.1,26.59
70,14.12,-40.77,20.22
80,16.88,-39.9,13.53
90,18.73,-37.53,8.26
100,15.58,-33.67,6.86
110,10.84,-28.56,7.35
120,5.3,-22.19,9.1
130,1.19,-16.5,9.34
140,-0.73,-12.04,8.81
150,-0.96,-9.34,7.94
160,-1.08,-6.91,6.69
170,-1.75,-2.84,5.01
180,-2.28,0.53,2.7
190,-2.49,3.75,1.69
200,-2.77,5.61,-1.63
210,-2.92,7.21,-4.4
220,-1.94,7.08,-4.39
230,-0.19,6.46,-4.07
240,2.14,4.93,-4.06
250,4.65,1.75,-2.65
260,6.6,-1.92,-0.4
270,7.18,-3.98,1.02
280,6.82,-4.36,1.43
290,5.95,-5.38,0.31
300,5.4,-5.46,0.05
310,4.72,-5.23,-0.29
320,4.11,-5.17,-1.06
330,3.91,-5.82,-1.06
340,3.88,-6.68,-0.48
350,3.57,-7.31,0.02
360,3.22,-7.01,0.62
370,2.98,-6.78,0.88
380,3.04,-6.38,0.96
390,4.32,-6.11,1.08
400,6.93,-7.07,0.95
410,9.88,-8.11,0.84
420,12.75,-8.29,0.75
430,16.49,-7.79,1.55
440,21.58,-7.64,0.18
450,30.62,-6.92,-5.47
460,36.06,-6.02,-8.73
470,38.9,-4.28,-12.0
480,37.96,-1.45,-13.63
490,34.04,4.26,-8.51
500,27.59,7.73,-3.58
510,20.77,9.65,1.43
520,13.96,10.92,6.24
530,7.61,12.18,9.73
540,1.91,13.02,12.64
550,-2.9,12.41,15.1
560,-6.24,11.24,15.54
570,-9.8,10.76,14.46
580,-16.72,12.06,14.83
590,-24.27,15.76,14.97
600,-30.16,20.4,13.54
610,-35.8,23.84,11.01
620,-42.71,19.06,5.4
630,-33.95,19.87,8.98
640,-31.07,11.99,16.15
650,-25.83,3.46,18.72
660,-20.3,-3.95,20.41
670,-15.09,-9.59,21.3
680,-9.62,-13.33,20.05
690,-3.91,-15.47,18.24
700,2.02,-15.33,17.17
710,9.16,-12.73,15.3
720,17.57,-11.17,12.13
730,34.94,-16.0,-1.93
740,42.16,-20.97,-4.93
750,41.7,-20.49,-8.44
760,36.1,-15.24,-10.8
770,28.73,-9.46,-9.46
780,22.88,-4.4,-6.69
790,19.64,-1.3,-6.28
800,19.39,-0.02,-7.22
810,21.7,-1.13,-6.46
820,24.97,-4.32,-3.87
830,27.1,-7.14,-1.52
840,26.54,-7.24,-0.26
850,22.95,-3.71,-0.57
860,18.7,0.33,-1.21
870,16.04,2.74,0.71
880,13.99,3.64,3.15
890,12.62,3.87,6.52
900,11.14,3.36,10.19
910,9.49,3.49,13.26
920,7.57,3.14,14.76
930,5.24,3.13,15.13
940,2.14,4.28,14.6
950,-2.09,6.17,13.47
960,-7.66,9.5,12.73
970,-17.26,13.2,14.93
980,-21.69,17.5,13.41
990,-24.47,19.58,11.09
1000,-26.01,16.71,7.2
