timestamp,x,y,z
0,12.16,-5.3,-3.92
10,11.85,-5.93,-3.36
20,11.58,-6.44,-2.67
30,11.16,-6.79,-2.08
40,10.35,-7.0,-1.81
50,8.94,-6.74,-1.62
60,7.14,-6.3,-1.06
70,4.88,-6.18,-0.33
80,2.27,-5.21,0.14
90,-0.21,-2.03,-0.22
100,-3.29,1.68,-1.45
110,-6.61,5.84,-3.01
120,-10.42,10.01,-5.08
130,-13.95,13.83,-8.21
140,-17.15,15.97,-11.74
150,-19.64,16.78,-15.14
160,-21.31,16.59,-17.55
170,-22.05,16.13,-18.26
180,-22.11,16.15,-17.26
190,-22.29,15.99,-15.54
200,-22.4,17.19,-12.71
210,-22.39,19.26,-9.07
220,-21.49,21.46,-5.08
230,-19.48,22.86,-0.48
240,-16.56,23.86,5.3
250,-13.11,24.37,11.81
260,-8.66,25.36,18.52
270,-2.48,25.83,23.49
280,2.93,23.94,26.42
290,4.77,19.93,29.03
300,5.5,19.87,32.04
310,7.96,22.56,36.19
320,12.62,22.53,37.82
330,19.07,19.9,36.49
340,26.54,16.48,34.21
350,35.21,14.17,31.7
360,49.62,10.11,21.55
370,51.2,2.32,19.98
380,52.32,-4.4,15.85
390,51.14,-11.0,11.51
400,49.98,-12.14,8.0
410,47.46,-11.86,6.62
420,44.66,-11.8,7.44
430,44.0,-11.13,12.05
440,46.25,-12.53,19.69
450,48.09,-13.7,26.89
460,47.1,-14.41,31.85
470,43.36,-14.14,35.09
480,37.61,-9.85,36.96
490,29.89,-6.43,37.74
500,19.57,-2.02,37.45
510,4.9,3.5,40.03
520,2.33,8.37,32.26
530,-3.28,9.77,28.27
540,-4.56,11.68,22.69
550,-5.77,14.4,19.18
560,-4.79,17.22,17.23
570,-3.97,17.4,19.27
580,-3.35,18.72,28.76
590,-5.34,18.16,21.31
600,-6.88,16.56,11.66
610,-10.69,16.07,3.36
620,-15.98,17.31,-2.58
630,-22.68,20.65,-6.96
640,-29.85,26.34,-8.87
650,-36.61,33.04,-7.83
660,-40.61,38.29,-4.52
670,-38.52,41.45,1.32
680,-32.3,41.22,6.92
690,-22.72,37.31,12.42
700,-12.34,31.28,17.31
710,-5.17,24.76,20.18
720,-1.67,20.87,21.13
730,0.44,21.0,20.17
740,2.43,24.53,16.12
750,4.8,30.04,9.28
760,8.4,37.23,2.22
770,22.51,45.4,-10.13
780,29.18,46.66,-11.21
790,38.75,42.33,-11.13
800,42.41,34.24,-13.66
810,46.43,29.0,-14.11
820,50.16,24.57,-15.09
830,54.21,18.54,-14.62
840,56.76,7.84,-13.14
850,51.52,-0.69,-10.94
860,45.5,-3.89,-8.52
870,38.53,-2.62,-8.83
880,32.51,-1.41,-10.04
890,53.52,-26.2,-35.22
900,54.03,-20.14,-32.28
910,25.61,0.78,-16.89
920,13.47,-2.01,-8.05
930,10.63,-11.08,-2.12
940,10.11,-17.41,0.79
950,10.69,-17.38,0.88
960,10.65,-15.1,-2.05
970,9.28,-13.0,-7.1
980,7.76,-11.5,-12.59
990,5.61,-9.84,-16.84
1000,3.0,-9.38,-19.64
