timestamp,x,y,z
0,-19.97,7.06,20.68
10,-20.2,9.34,24.89
20,-19.46,10.11,28.65
30,-17.16,9.34,32.04
40,-13.56,8.03,33.8
50,-9.67,6.27,31.67
60,-6.49,4.88,26.29
70,-3.85,3.89,19.67
80,-1.11,2.48,13.64
90,2.21,-0.2,8.74
100,5.54,-3.13,6.22
110,8.92,-6.04,3.61
120,11.32,-8.24,0.62
130,12.98,-8.58,-2.83
140,13.29,-7.96,-4.85
150,12.97,-6.86,-4.11
160,13.71,-5.86,-2.52
170,15.46,-5.5,-1.38
180,18.28,-5.55,-0.51
190,21.7,-6.26,-0.03
200,24.87,-4.78,0.06
210,25.71,-10.81,-0.94
220,25.97,-12.9,-2.35
230,24.54,-12.93,-5.35
240,21.01,-12.78,-9.12
250,16.84,-11.9,-11.7
260,13.75,-9.81,-11.85
270,10.91,-9.85,-10.58
280,9.92,-7.93,-7.69
290,8.61,-6.92,-4.76
300,6.02,-4.6,-2.56
310,2.78,-3.47,-2.01
320,0.46,-2.72,-1.32
330,-0.56,-2.77,0.07
340,1.24,-3.63,2.15
350,4.88,-5.94,4.36
360,8.96,-8.43,5.96
370,11.73,-11.19,6.23
380,13.15,-12.14,4.7
390,12.67,-12.0,-0.96
400,10.85,-11.28,-6.74
410,9.29,-10.4,-9.1
420,9.0,-9.18,-6.91
430,9.81,-8.24,-1.4
440,9.26,-7.57,4.17
450,7.34,-6.61,7.93
460,4.54,-4.91,8.91
470,1.09,-3.64,8.34
480,-2.78,-2.94,6.53
490,-6.16,-1.6,5.19
500,-9.37,-0.63,6.13
510,-13.11,-0.05,8.56
520,-17.87,0.68,10.66
530,-20.57,2.04,9.46
540,-23.68,3.74,8.7
550,-27.59,5.8,8.55
560,-30.72,8.36,8.25
570,-32.33,11.01,8.82
580,-31.95,12.64,10.13
590,-29.86,13.2,11.68
600,-25.75,11.95,12.39
610,-20.77,10.01,11.79
620,-15.69,8.21,10.37
630,-10.36,6.5,8.88
640,-4.43,4.48,7.51
650,1.94,1.98,6.68
660,8.55,-0.91,6.03
670,14.75,-4.61,5.77
680,20.06,-8.71,5.18
690,23.74,-12.11,4.1
700,25.02,-13.46,2.15
710,24.86,-12.47,2.78
720,24.61,-11.26,4.83
730,25.82,-11.04,6.93
740,28.65,-12.1,8.0
750,31.77,-14.01,8.31
760,35.63,-15.92,5.95
770,34.94,-17.32,4.71
780,32.06,-16.63,2.44
790,27.01,-13.81,0.7
800,21.19,-10.25,0.35
810,15.49,-7.34,0.51
820,10.23,-5.51,1.11
830,5.62,-4.09,2.63
840,1.94,-2.8,4.89
850,-1.34,-2.56,7.23
860,-4.38,-2.47,9.14
870,-6.74,-2.21,10.2
880,-9.34,-1.52,10.61
890,-12.72,-0.57,10.41
900,-16.47,0.95,9.4
910,-20.54,3.08,8.52
920,-24.56,5.45,8.26
930,-27.99,7.83,8.39
940,-30.38,9.46,7.99
950,-32.07,11.67,6.74
960,-31.56,11.94,5.9
970,-28.69,10.37,5.59
980,-24.94,8.63,4.94
990,-21.18,7.03,3.32
1000,-17.13,4.82,2.09
